"";"STATE";"fund_tot";"numaward_tot";"yr";"moneyrat"
"819";"DE";29694797;70;2008;424211,385714286
"820";"FL";418478029;1003;2008;417226,34995015
"821";"GA";409714630;1041;2008;393577,934678194
"822";"GU";507217;2;2008;253608,5
"823";"HI";69275167;115;2008;602392,756521739
"824";"IA";212136067;489;2008;433816,08793456
"825";"ID";10095530;15;2008;673035,333333333
"826";"IL";763044862;1991;2008;383247,042692115
"827";"IN";207463856;634;2008;327230,056782334
"828";"KS";97082809;241;2008;402833,232365145
"829";"KY";151149074;437;2008;345878,887871854
"830";"LA";133994355;302;2008;443689,917218543
"831";"MA";2338640674;4986;2008;469041,450862415
"832";"MD";1391533644;2281;2008;610054,206049978
"833";"ME";65909960;125;2008;527279,68
"834";"MI";664574142;1487;2008;446922,758574311
"835";"MN";463787914;1057;2008;438777,591296121
"836";"MO";497924778;1162;2008;428506,69363167
"837";"MS";39716949;87;2008;456516,655172414
"838";"MT";37087696;90;2008;412085,511111111
"839";"NC";1057443486;2187;2008;483513,253772291
"840";"ND";15974512;37;2008;431743,567567568
"841";"NE";80889195;235;2008;344209,340425532
"842";"NH";86927860;219;2008;396930,867579909
"843";"NJ";261270533;640;2008;408235,2078125
"844";"NM";125000899;238;2008;525213,861344538
"845";"NV";20190489;48;2008;420635,1875
"846";"NY";1951235311;4700;2008;415156,449148936
"847";"OH";678657009;1762;2008;385162,888195233
"848";"OK";73032337;171;2008;427089,69005848
"849";"OR";270461336;730;2008;370494,980821918
"850";"PA";1383294990;3498;2008;395453,113207547
"851";"PR";59131560;84;2008;703947,142857143
"852";"RI";141258348;472;2008;299276,161016949
"853";"SC";141357378;389;2008;363386,575835476
"854";"SD";18173499;28;2008;649053,535714286
"855";"TN";453824334;1087;2008;417501,687212511
"856";"TX";1110640119;2775;2008;400230,673513514
"857";"UT";152870357;417;2008;366595,580335731
"858";"VA";331423370;877;2008;377905,781071836
"859";"VI";1856456;4;2008;464114
"860";"VT";66201790;163;2008;406145,950920245
"861";"WA";839649339;1570;2008;534808,496178344
"862";"WI";394969111;999;2008;395364,475475475
"863";"WV";24779754;64;2008;387183,65625
"864";"WY";7386713;16;2008;461669,5625
"865";"AK";10262373;12;2009;855197,75
"866";"AL";290794192;568;2009;511961,605633803
"867";"AR";67137001;166;2009;404439,765060241
"868";"AS";361707;1;2009;361707
"869";"AZ";161216399;435;2009;370612,411494253
"870";"CA";4185472278;7196;2009;581638,726792663
"871";"CO";321043574;873;2009;367747,50744559
"872";"CT";466088109;1118;2009;416894,551878354
"873";"DC";214999119;378;2009;568780,738095238
"874";"DE";29976648;61;2009;491420,459016393
"875";"FL";424371122;989;2009;429091,124368049
"876";"GA";425887905;1029;2009;413885,233236152
"877";"GU";1599186;3;2009;533062
"878";"HI";57393345;91;2009;630696,098901099
"879";"IA";201805816;468;2009;431209,008547009
"880";"ID";10876759;19;2009;572461
"881";"IL";775865550;1994;2009;389100,075225677
"882";"IN";232933671;627;2009;371505,057416268
"883";"KS";112240645;256;2009;438440,01953125
"884";"KY";157621499;433;2009;364021,937644342
"885";"LA";133981855;301;2009;445122,441860465
"886";"MA";2457778054;4936;2009;497929,103322528
"887";"MD";1533068672;2226;2009;688710,095238095
"888";"ME";68454020;131;2009;522549,770992366
"889";"MI";617529088;1480;2009;417249,383783784
"890";"MN";477077850;1034;2009;461390,570599613
"891";"MO";477392790;1111;2009;429696,480648065
"892";"MS";37358460;80;2009;466980,75
"893";"MT";47430356;87;2009;545176,505747126
"894";"NC";1112347585;2140;2009;519788,591121495
"895";"ND";12883279;28;2009;460117,107142857
"896";"NE";89569241;229;2009;391132,056768559
"897";"NH";85798586;208;2009;412493,201923077
"898";"NJ";279562257;615;2009;454572,775609756
"899";"NM";128546506;225;2009;571317,804444444
"900";"NV";22195210;47;2009;472238,510638298
"901";"NY";2049742415;4602;2009;445402,523902651
"902";"OH";701730048;1729;2009;405858,905725853
"903";"OK";80658659;172;2009;468945,691860465
"904";"OR";293424420;681;2009;430872,863436123
"905";"PA";1430933395;3437;2009;416332,090485889
"906";"PR";56934606;91;2009;625655,010989011
"907";"RI";154736809;464;2009;333484,502155172
"908";"SC";154655216;401;2009;385673,855361596
"909";"SD";24009040;29;2009;827897,931034483
"910";"TN";456299869;1076;2009;424070,510223048
"911";"TX";1094887787;2655;2009;412387,113747646
"912";"UT";162748391;397;2009;409945,569269521
"913";"VA";416005263;863;2009;482045,49594438
"914";"VI";2032159;4;2009;508039,75
"915";"VT";60689950;146;2009;415684,589041096
"916";"WA";840977818;1565;2009;537366,017891374
"917";"WI";449632713;942;2009;477317,105095541
"918";"WV";23498618;63;2009;372993,936507937
"919";"WY";8925096;15;2009;595006,4
"920";"AK";11284243;12;2010;940353,583333333
"921";"AL";271922743;577;2010;471269,918544194
"922";"AR";70930209;169;2010;419705,378698225
"923";"AZ";168021743;414;2010;405849,620772947
"924";"CA";3554640717;7262;2010;489485,089093913
"925";"CO";354550457;882;2010;401984,645124717
"926";"CT";484425714;1134;2010;427183,169312169
"927";"DC";199768586;372;2010;537012,327956989
"928";"DE";34153789;67;2010;509758,044776119
"929";"FL";465084600;1040;2010;447196,730769231
"930";"GA";454733412;1038;2010;438086,138728324
"931";"GU";1830151;2;2010;915075,5
"932";"HI";65337554;94;2010;695080,361702128
"933";"IA";205894892;447;2010;460614,970917226
"934";"ID";8276796;15;2010;551786,4
"935";"IL";757213729;1910;2010;396446,978534031
"936";"IN";212941935;612;2010;347944,338235294
"937";"KS";105575355;258;2010;409206,802325581
"938";"KY";145176828;411;2010;353228,291970803
"939";"LA";139730627;313;2010;446423,728434505
"940";"MA";2543013395;4969;2010;511775,688267257
"941";"MD";1836378536;2356;2010;779447,595925297
"942";"ME";73030274;123;2010;593742,06504065
"943";"MI";663317732;1511;2010;438992,542686962
"944";"MN";486296846;1034;2010;470306,427466151
"945";"MO";506172533;1094;2010;462680,560329068
"946";"MS";39754466;81;2010;490795,87654321
"947";"MT";31539065;66;2010;477864,621212121
"948";"NC";1096410205;2071;2010;529411,011588605
"949";"ND";15393968;29;2010;530826,482758621
"950";"NE";90212680;226;2010;399171,150442478
"951";"NH";92173847;207;2010;445284,285024155
"952";"NJ";273286848;622;2010;439367,922829582
"953";"NM";114714308;225;2010;509841,368888889
"954";"NV";18092565;43;2010;420757,325581395
"955";"NY";2105886446;4640;2010;453854,8375
"956";"OH";750339050;1671;2010;449035,936564931
"957";"OK";80408080;170;2010;472988,705882353
"958";"OR";296344833;679;2010;436443,053019146
"959";"PA";1445455357;3405;2010;424509,649632893
"960";"PR";59393149;99;2010;599930,797979798
"961";"RI";154158661;453;2010;340306,094922737
"962";"SC";150202829;391;2010;384150,457800512
"963";"SD";15915627;30;2010;530520,9
"964";"TN";474664377;1088;2010;436272,405330882
"965";"TX";1111901969;2660;2010;418008,259022556
"966";"UT";170522253;407;2010;418973,594594595
"967";"VA";365880539;815;2010;448933,176687117
"968";"VI";1869358;4;2010;467339,5
"969";"VT";60821163;137;2010;443950,094890511
"970";"WA";895939068;1562;2010;573584,550576184
"971";"WI";396196648;948;2010;417928,953586498
"972";"WV";23227760;66;2010;351935,757575758
"973";"WY";7817236;13;2010;601325,846153846
"974";"AK";9191504;12;2011;765958,666666667
"975";"AL";268486551;560;2011;479440,269642857
"976";"AR";62588314;150;2011;417255,426666667
"977";"AZ";183825600;441;2011;416838,095238095
"978";"CA";3535283774;7310;2011;483622,95129959
"979";"CO";320340902;881;2011;363610,5584563
"980";"CT";479524980;1137;2011;421745,80474934
"981";"DC";202364114;357;2011;566846,257703081
"982";"DE";30559438;67;2011;456111,014925373
"983";"FL";492555720;1053;2011;467764,216524217
"984";"GA";463293062;1033;2011;448492,799612778
"985";"GU";1674244;2;2011;837122
"986";"HI";60701012;92;2011;659793,608695652
"987";"IA";197672634;435;2011;454419,848275862
"988";"ID";9332446;14;2011;666603,285714286
"989";"IL";779187357;1886;2011;413142,819194062
"990";"IN";216161791;622;2011;347526,995176849
"991";"KS";105849955;268;2011;394962,518656716
"992";"KY";156270292;413;2011;378378,430992736
"993";"LA";166833340;318;2011;524633,144654088
"994";"MA";2507870229;4930;2011;508695,786815416
"995";"MD";1685375398;2337;2011;721170,47411211
"996";"ME";74907992;127;2011;589826,708661417
"997";"MI";655453661;1539;2011;425895,81611436
"998";"MN";493757624;1029;2011;479842,200194363
"999";"MO";477297245;1085;2011;439905,294930876
"1000";"MS";33857972;85;2011;398329,082352941
"1001";"MT";39716294;71;2011;559384,422535211
"1002";"NC";1063032452;2055;2011;517290,730900243
"1003";"ND";17523884;34;2011;515408,352941176
"1004";"NE";84143479;200;2011;420717,395
"1005";"NH";88436691;196;2011;451207,607142857
"1006";"NJ";250727886;595;2011;421391,405042017
"1007";"NM";105685640;214;2011;493858,130841121
"1008";"NV";20575310;47;2011;437772,553191489
"1009";"NY";2041382093;4606;2011;443200,628093791
"1010";"OH";710986894;1680;2011;423206,48452381
"1011";"OK";82459527;178;2011;463255,769662921
"1012";"OR";303560452;696;2011;436150,074712644
"1013";"PA";1455074919;3357;2011;433445,016085791
"1014";"PR";50243557;94;2011;534505,925531915
"1015";"RI";152818286;470;2011;325145,289361702
"1016";"SC";139992986;396;2011;353517,641414141
"1017";"SD";18592696;31;2011;599764,387096774
"1018";"TN";479882998;1064;2011;451017,855263158
"1019";"TX";1066750534;2570;2011;415078,028793774
"1020";"UT";170963920;417;2011;409985,419664269
"1021";"VA";332251165;766;2011;433748,257180157
"1022";"VI";2778426;3;2011;926142
"1023";"VT";52563537;125;2011;420508,296
"1024";"WA";925981921;1574;2011;588298,552096569
"1025";"WI";402556298;904;2011;445305,639380531
"1026";"WV";18956685;53;2011;357673,301886792
"1027";"WY";6188981;10;2011;618898,1
"1028";"AK";8673839;14;2012;619559,928571429
"1029";"AL";253111519;570;2012;444055,296491228
